,,Alibaba,Apple,Tata,hdfc,Maruti,LIC,BAJAJ,IDFC,RCOM,AIRTEL,HP,GAIL,AMAZON,exchange rate
,Base Price,187,171,376,1881,9021,525,1628,53,28,429,391,476,400,64.41
Tata Motors President and CTO Timothy Leverton quits,10:50,187,171,376,1881,9021,529,1630,54,28,432,393,477,400,64.41
RBI imposes 2 cr penalty on IDFC Bank,11:30,188,171,378,1881,9021,532,1642,54,28,436,395,481,403,64.41
Google parent Alphabet launches cybersecurity business.,12:45,190,172,380,1881,9021,537,1644,55,28,439,395,481,406,64.41
Quickr buys HDFC subsidiaries for 357 crore.,13:25,191,173,381,1881,9021,539,1659,55,28,443,399,482,407,64.41
Alibaba set to invest 300 milliion in BigBasket.,14:37,192,173,384,1957,9021,541,1666,56,28,445,402,485,410,64.41
HPCL asks Airtel to reverse wrongfully credited LPG subsidy.,15:50,199,174,385,1957,9021,544,1681,56,29,449,406,488,410,64.41
US probing Apple updates that slowed older iPhones.,16:22,199,175,388,1957,9021,548,1696,57,29,451,390,490,411,64.41
Airtel selling Amazon Prime to its customers for free.,17:45,200,162,388,1957,9021,549,1696,57,29,452,392,494,415,64.41
HDFC ERGO acquires L&T General Insurance.,18:52,200,164,391,1957,9021,553,1708,57,29,458,394,497,436,64.41
IDFC profits falls by 24%,19:22,201,165,391,2015,9021,558,1710,58,29,462,397,501,439,64.41
Google acquires UK startup which turns screen into speakers,20:30,202,166,394,2015,9021,560,1710,55,29,463,399,505,442,64.41
"IOC, BPCL keen to acquire GAIL: company wants to merge with ONGC.",21:25,202,167,398,2015,9021,561,1713,55,29,466,400,508,443,64.41
HPCL listed in Fortune 500 Global list.,22:45,202,167,399,2015,9021,563,1725,56,30,468,403,534,445,64.41
Airtel to acquire telecom operator Tigo in Africas Rwanda.,23:47,204,168,403,2015,9021,568,1739,56,30,472,427,538,446,64.41
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Currency,USD,USD,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,USD,
